,Target,Disclosure,Source
1976,7.1,EU27,G4 Sector Disclosure 2009
1978,7.1,EU26,G4 Sector Disclosure 2009
1979,7.1,EU10,G4 Sector Disclosure 2009
1981,7.1,EU28,G4 Sector Disclosure 2009
1982,7.1,Former EU24,G4 Sector Disclosure 2009
1984,7.1,Former EU23,G4 Sector Disclosure 2009
1986,7.2,EU1,G4 Sector Disclosure 2009
1987,7.2,EU2,G4 Sector Disclosure 2009
1988,7.2,Former EU8,G4 Sector Disclosure 2009
1990,7.2,OG2,G4 Sector Disclosure 2012
1991,7.2,OG3,G4 Sector Disclosure 2012
1992,7.2,OG14,G4 Sector Disclosure 2012
1993,7.3,EU11,G4 Sector Disclosure 2009
1994,7.3,CRE1,G4 Sector Disclosure 2011
1995,7.3,Former EU7,G4 Sector Disclosure 2009
1997,7.3,Former MM1,G4 Sector Disclosure 2010
1998,7.3,EU12,G4 Sector Disclosure 2009
1999,7.3,CRE8,G4 Sector Disclosure 2011
2001,7.3,OG6,G4 Sector Disclosure 2012
2002,7a,Former,G4 Sector Disclosure 2010
2004,7a,Former EU8,G4 Sector Disclosure 2009
2006,7a,OG2,G4 Sector Disclosure 2012
2007,7b,Former EU8,G4 Sector Disclosure 2009
2009,8.1,AO3,G4 Sector Disclosure 2011
2010,8.1,AO2,G4 Sector Disclosure 2011
2012,8.1,AO1,G4 Sector Disclosure 2011
2014,8.2,EO13,G4 Sector Disclosure 2012
2015,8.3,FS7,G4 Sector Disclosure 2008
2017,8.3,FS6,G4 Sector Disclosure 2008
2019,8.4,EU11,G4 Sector Disclosure 2009
2020,8.4,CRE1,G4 Sector Disclosure 2011
2021,8.4,CRE2,G4 Sector Disclosure 2011
2022,8.4,Former EU7,G4 Sector Disclosure 2009
2024,8.4,Former EU11,G4 Sector Disclosure 2009
2025,8.4,EU12,G4 Sector Disclosure 2009
2026,8.4,CRE8,G4 Sector Disclosure 2011
2028,8.4,OG5,G4 Sector Disclosure 2012
2029,8.4,OG6,G4 Sector Disclosure 2012
2030,8.5,EU15,G4 Sector Disclosure 2009
2032,8.5,Former EU14,G4 Sector Disclosure 2009
2033,8.8,EU17,G4 Sector Disclosure 2009
2035,8.8,MM8,G4 Sector Disclosure 2010
2038,8.8,OG13,G4 Sector Disclosure 2012
2039,8.8,MM4,G4 Sector Disclosure 2010
2040,8.8,EU18,G4 Sector Disclosure 2009
2042,8.8,CRE6,G4 Sector Disclosure 2011
2044,8.8,FP3,G4 Sector Disclosure 2010
2045,8.8,Former EU16,G4 Sector Disclosure 2009
2047,8.1,FS13,G4 Sector Disclosure 2008
2048,8.1,Former FS16,G4 Sector Disclosure 2008
2049,8.1,FS14,G4 Sector Disclosure 2008
2050,8.1,FS7,G4 Sector Disclosure 2008
2052,8.1,FS6,G4 Sector Disclosure 2008
2054,9.1,EO13,G4 Sector Disclosure 2012
2055,9.1,Former EU19,G4 Sector Disclosure 2009
2057,9.3,FS7,G4 Sector Disclosure 2008
2059,9.3,FS6,G4 Sector Disclosure 2008
2061,9.4,Former EU8,G4 Sector Disclosure 2009
2063,9.4,OG2,G4 Sector Disclosure 2012
2064,9.5,EU13,G4 Sector Disclosure 2009
2065,9.5,MM11,G4 Sector Disclosure 2010
2066,9.5,Former EU8,G4 Sector Disclosure 2009
2068,9.5,OG2,G4 Sector Disclosure 2012
2069,9a,EO13,G4 Sector Disclosure 2012
2070,9a,Former EU19,G4 Sector Disclosure 2009
2072,10.2,FS13,G4 Sector Disclosure 2008
2073,10.2,M4,G4 Sector Disclosure 2012
2075,10.2,Former FS16,G4 Sector Disclosure 2008
2076,10.2,FS14,G4 Sector Disclosure 2008
2077,10.2,FS7,G4 Sector Disclosure 2008
2079,10.2,M5,G4 Sector Disclosure 2012
2082,10.2,EO3,G4 Sector Disclosure 2012
2084,10.2,EO5,G4 Sector Disclosure 2012
2085,10.2,EO6,G4 Sector Disclosure 2010
2086,10.2,CRE8,G4 Sector Disclosure 2011
2088,10.5,Former FS9,G4 Sector Disclosure 2008
2090,10.5,Former FS5,G4 Sector Disclosure 2008
2092,10.5,FS10,G4 Sector Disclosure 2008
2094,10.5,FS11,G4 Sector Disclosure 2008
2095,10.5,Former FS15,G4 Sector Disclosure 2008
2096,10.5,Former FS1,G4 Sector Disclosure 2008
2097,10.5,Former FS2,G4 Sector Disclosure 2008
2098,10.5,Former FS4,G4 Sector Disclosure 2008
2100,10.5,Former FS3,G4 Sector Disclosure 2008
2102,11.1,FS7,G4 Sector Disclosure 2008
2104,11.2,EO2,G4 Sector Disclosure 2012
2106,11.2,EO13,G4 Sector Disclosure 2012
2107,11.2,EO3,G4 Sector Disclosure 2012
2109,11.3,AO7,G4 Sector Disclosure 2011
2110,11.3,CRE8,G4 Sector Disclosure 2011
2112,11.4,M3,G4 Sector Disclosure 2012
2113,11.4,Former EU20,G4 Sector Disclosure 2009
2114,11.4,OG12,G4 Sector Disclosure 2012
2116,11.5,Former EU21,G4 Sector Disclosure 2009
2118,11.5,OG13,G4 Sector Disclosure 2012
2119,11.7,EO13,G4 Sector Disclosure 2012
2120,12.2,EU11,G4 Sector Disclosure 2009
2121,12.2,CRE1,G4 Sector Disclosure 2011
2122,12.2,CRE2,G4 Sector Disclosure 2011
2123,12.2,Former EU7,G4 Sector Disclosure 2009
2125,12.2,FP2,G4 Sector Disclosure 2010
2127,12.2,Former,G4 Sector Disclosure 2010
2129,12.2,EU12,G4 Sector Disclosure 2009
2130,12.2,CRE8,G4 Sector Disclosure 2011
2132,12.2,EO9,G4 Sector Disclosure 2012
2133,12.2,OG5,G4 Sector Disclosure 2012
2134,12.2,OG6,G4 Sector Disclosure 2012
